! ("！")
" ("“”")
adgd ("百折不挠")
adgg ("百挑不厌")
adgi ("一拥而上")
adgs ("一挥而就")
adkn ("可提供")
adkv ("于是")
adky ("一揽子")
adl ("盂")
adlk ("盂")
adlz ("盂县")
admk ("无事生非")
admo ("㪀")
adni ("𨾌")
adnr ("万事俱备")
adns ("万事顺意")
ados ("开拓创新")
adpm ("可拆卸")
adqe ("亚热带")
adqk ("正投影")
adql ("刑事犯罪")
adqm ("一投手")
adsg ("一捅就破")
adsm ("无的放矢")
adss ("刑事诉讼法")
adsv ("可撤消")
aduw ("开拓精神")
advn ("可撤消信用证")
advv ("于")
adw ("迂")
adwc ("一技之长")
adwg ("可控硅")
adxo ("一拍即合")
ady ("邘")
adyd ("𠃗")
adym ("一把手")
adzn ("可持续化")
adzs ("万事如意")
adzx ("形势发展")
adzz ("可持续发展" "可持续发展战略")
ae ("开")
aeae ("𪚟" "𢏘")
aeah ("天真无邪")
aeal ("𧷩")
aear ("与世无争" "干裂")
aeb ("型")
aebb ("开封" "瓦莱塔")
aebh ("开城")
aebi ("开工" "开赴")
aebk ("开来")
aebm ("开埠")
aebn ("𪪖")
aebt ("天南地北")
aebu ("䵤")
aebx ("下基层" "形声")
aeby ("刑场")
aebz ("开动")
aecb ("𪫡")
aecc ("万古长青")
aecd ("开球")
aecm ("与世长辞")
aeco ("开春")
aed ("干")
aedc ("副董事长")
aedg ("开拓" "干扰")
aedj ("刑事" "干事")
aedq ("形势")
aedx ("开据")
aeeb ("𤮻")
aeeh ("刊载")
aeek ("开幕")
aeen ("开花")
aeeq ("刑期")
aeer ("干警" "𪂍")
aees ("开荒" "䶬")
aeet ("麉")
aeex ("开支" "𨴚" "𢻗")
aeey ("𢏗")
aefb ("开票")
aefe ("干枯")
aeff ("开禁")
aefg ("干杯" "𩔛")
aefj ("𢆚")
aefo ("开枪")
aefp ("型板")
aefq ("开机")
aefr ("干酪" "𪄃")
aefs ("干校")
aeg ("顸")
aegk ("下落不明")
aegn ("开原")
aego ("顸" "頇")
aegq ("𧰪")
aegs ("形态")
aegx ("形码")
aeha ("百花盛开")
aehb ("形式")
aehe ("开车")
aehv ("形成")
aeib ("武警战士")
aeig ("𩒞")
aeij ("开战")
aeiw ("𢤏")
aeja ("型号" "开口" "刊号")
aejl ("死胡同")
aejq ("𫈉")
aejr ("开路")
aejs ("干咳")
aejx ("干吗")
aejy ("𨚆")
aek ("刊")
aeka ("干旱")
aekb ("型")
aekd ("刊" "刑")
aekf ("干果")
aekg ("百慕大")
aekh ("开幕式")
aekl ("开敞")
aekm ("开幕辞")
aekq ("开明")
aeks ("开幕词")
aeku ("开业" "开凿")
aekv ("开水")
aeld ("𧦸")
aelg ("一直在")
aelk ("㿼" "㿻")
aelo ("开具")
aelr ("开罗" "䙹")
aels ("刑罚")
aelw ("开幕典礼")
aelz ("开县")
aema ("一落千丈")
aemj ("政协委员")
aemn ("豆蔻年华")
aemo ("攼")
aemr ("刊物")
aemy ("天花乱坠")
aemz ("干系")
aene ("开花期")
aenf ("天花板" "形体")
aeng ("𩔓")
aeni ("雃" "䧲")
aenk ("无花果")
aenm ("万花筒")
aeno ("开价")
aenr ("开化")
aent ("百花奖")
aenu ("天花粉")
aenx ("𥀈")
aeoa ("无期徒刑")
aeob ("开会")
aeoj ("政协全国委员会")
aeoo ("𦦕")
aeop ("开饭")
aeor ("干馏")
aeos ("开往")
aeox ("刑律")
aeoy ("开创")
aeoz ("𡂤")
aep ("形")
aepb ("𡌑")
aepd ("形" "𣂖")
aepf ("开采")
aepi ("开钻")
aepk ("开销")
aepl ("开盘" "型钢" "𫍚")
aept ("开镰")
aeqr ("干脆")
aequ ("开脱")
aerc ("百花争艳")
aerj ("形象")
aero ("㰢")
aerz ("鳽" "鳱" "𫜠")
aesb ("列支敦士登")
aesi ("𪚒")
aesj ("干部")
aesk ("开课")
aesl ("开端")
aesm ("开放")
aesq ("开设")
aess ("百花齐放")
aesu ("形旁")
aesw ("一劳永逸")
aesx ("开朗" "形变")
aesy ("开方" "刑讯" "武警部队")
aesz ("𥪵")
aetg ("形状" "开头")
aetk ("干冰")
aetl ("开门")
aetn ("干瘪" "干瘦")
aetr ("干净")
aetv ("开阔")
aety ("开庭")
aeug ("开关")
aeuh ("干烧")
aeuj ("干燥")
aeuk ("开单")
aeul ("覝")
aeuo ("开火" "干粉" "烎" "㶣")
aeur ("开炮")
aeus ("干粮")
aeuv ("天真烂漫")
aeuw ("开炉")
aeux ("𫈌")
aeuy ("开卷")
aevb ("刑法")
aeve ("开满" "万古流芳")
aevg ("开源")
aevh ("干渠")
aevi ("干涉")
aevj ("干涸")
aevk ("干渴")
aevm ("干活")
aevs ("干流")
aevt ("天南海北")
aevv ("开" "天真活泼")
aevw ("开学")
aew ("迀")
aewb ("开窍" "开远")
aewe ("开赛")
aewj ("开启")
aewm ("开户" "哥斯达黎加")
aewo ("形容")
aews ("形迹")
aewu ("开道")
aewx ("开通")
aewz ("开心")
aexa ("刊登")
aexb ("干劲" "开垦")
aexe ("开展")
aexi ("𦦘" "𤿐" "𤿊")
aexj ("开辟" "干群")
aexx ("干预")
aexy ("开局")
aey ("邢" "邗")
aeyc ("开张")
aeyd ("开刀" "开导")
aeye ("哥萨克")
aeyk ("开阳")
aeyo ("开办" "开除")
aeys ("㼛")
aeyy ("䍾" "𦑪")
aeyz ("与世隔绝")
aezh ("干线" "干练" "开练")
aezi ("𠙻")
aezj ("邢台")
aezo ("𡂤")
aezv ("开发")
aezw ("下世纪初")
aezz ("开始")
af ("末")
afam ("一本万利")
afaz ("一本正经")
afbb ("平整土地")
afbu ("瓦杜兹")
afbz ("干酵母")
afdm ("严格控制")
afee ("夏枯草")
afeq ("末期")
afey ("末节")
affd ("严格要求")
affe ("无霜期")
affk ("末梢")
afgm ("可想而知")
afgo ("𩑷")
afgs ("一概而论")
afjf ("哥本哈根")
afjg ("一整套")
afjk ("𩈘")
afjr ("唜")
afka ("末日")
aflk ("𣞄")
afmc ("严格管理")
afmo ("𡘮")
afmq ("丙酰胺")
afnh ("末代")
afno ("无机化合物")
afns ("末位")
afnv ("无机化学")
afoe ("𣖢")
afof ("亚松森")
afon ("两极分化")
afoo ("膥")
afpa ("末后")
afqb ("无机盐")
afqm ("一枝独秀")
afqu ("无机肥料")
afrz ("𩿣")
afsh ("𠅍")
afsl ("末端")
aftr ("残酷斗争")
afug ("两相情愿")
afv ("末")
afvv ("末" "正本清源")
afwf ("无本之木")
afwt ("无权过问")
afww ("严格遵守")
afxm ("末尾")
afyd ("𪜒")
afyv ("末了")
afyz ("𣚺")
ag ("无")
agad ("无牵无挂")
agae ("无形" "幵")
agag ("天天" "𡚌" "𡙎")
agai ("天下" "𡗣")
agaj ("蚕豆")
agau ("天平" "吞灭")
agav ("无一")
agbb ("天坛")
agbh ("亚太地区")
agbo ("顶替")
agbu ("䵡")
agbv ("天地")
agbx ("无声" "吞声")
agca ("天王")
agci ("无耻")
agcj ("天职")
agck ("无理")
agcr ("无聊")
agcs ("𤤋")
agcu ("顶班")
agcx ("无瑕")
agcy ("两面三刀")
agcz ("无毒")
agd ("天")
agdb ("严厉打击")
agdd ("一大批")
agdi ("一大步")
agdj ("顶事")
agdm ("天才" "无托")
agdn ("一大片")
agdq ("天热")
agds ("顶撞")
agef ("栞")
ageg ("𩒖")
ageh ("顶芽")
agei ("蚕茧")
agej ("无辜")
agek ("𠛬")
agel ("天真" "𧵭" "𥅝")
agen ("天花")
ageq ("无期")
agey ("郉")
agfb ("亚硝酸盐")
agfg ("无需")
agfj ("无赖" "𢆞" "𡘸")
agfm ("天桥")
agfp ("顶板")
agfq ("无机")
agfr ("顶格")
agfs ("无核")
agfu ("顶楼")
agfx ("无权")
agfy ("无极")
aggc ("副厂长")
aggf ("𣓢" "𣓁")
aggg ("无奇不有")
aggi ("无不" "蝅")
aggv ("天有不测风云")
aggz ("丽而不媚")
aghb ("更确切地说")
aghe ("天车")
aghp ("天堑")
aghw ("正确轨道")
agi ("蚕" "䘉" "𡗘")
agia ("𡗶")
agib ("下不来")
agii ("蠺" "䘉" "䗞")
agij ("顶点")
agik ("可不是")
agil ("画龙点睛")
agim ("蚕蛾")
agin ("顶不住")
agiv ("天上" "形而上学")
agix ("蚕蛹" "㪪")
agiz ("再不能")
agj ("吞")
agjb ("无味" "吞吐")
agjc ("天国")
agji ("顶嘴")
agjj ("平面图" "吞咽")
agjk ("𩇺")
agjm ("吞噬")
agjn ("𨾵")
agjp ("平面镜")
agjr ("平面角")
agk ("昋")
agka ("无题" "䪞" "𩐄")
agkc ("无非" "䨿" "𩇳")
agkd ("天时")
agkf ("亚硝酸")
agkg ("顶尖")
agkh ("无畏")
agki ("𤰳")
agkn ("𤾄")
agkq ("天明" "奣")
agku ("无业")
agkv ("天水" "无水" "沗")
agkw ("天堂" "无常")
agkx ("无暇")
agla ("天赋")
aglg ("亚历山大")
aglk ("无罪" "顶罪")
agll ("天山" "死不瞑目")
aglo ("天内" "𠔬")
aglr ("顶峰")
agls ("更不用说")
aglv ("无用")
agmc ("天生")
agmh ("天鹅")
agmj ("无知" "蚕种")
agmk ("无利")
agmm ("无敌" "天敌")
agmp ("一大笔钱")
agmt ("更大程度上")
agmy ("天气")
agmz ("无私")
agnd ("𡗤")
agnf ("天体")
agnk ("无偿")
agnl ("天仙")
agno ("天价" "无价")
agns ("顶住")
ago ("顶" "頂")
agoa ("天命")
agod ("无人" "吞入")
agoe ("死有余辜")
agoo ("无从")
agox ("吞食" "蚕食")
agoy ("正确领导")
agpe ("天镇")
agpg ("无须")
agpk ("无锡")
agq ("𦙖")
agqn ("平面几何")
agqo ("顶风")
agqw ("𢡰")
agqy ("吞服")
agr ("无" "𡯊")
agrc ("正确处理")
agrg ("天然")
agrj ("无名" "天象")
agrl ("顶角")
agrm ("无疑" "𣄳")
agrr ("无比")
agrs ("正确率" "𡕠")
agrt ("天冬")
agru ("正确性")
agrv ("顶多")
agry ("天色" "无色")
agrz ("鴌")
agsa ("无证")
agsf ("亚硫酸")
agsj ("顶部" "无误")
agsk ("无意" "天意" "无谓")
agsl ("顶端")
agsn ("正确方向")
agso ("无论" "无效" "天文")
agsq ("无望")
agss ("正确认识")
agsv ("形态学")
agsy ("无方")
agtf ("天麻")
agtg ("顶头")
agtn ("天府")
agto ("天冷")
agtr ("天资" "无底")
agtv ("无度")
agu ("忝")
aguc ("无情")
ague ("吞并" "𢆛")
agug ("无关" "一厢情愿")
aguh ("𢧏")
aguj ("无烟")
agum ("天性" "无性")
agun ("无愧" "下不为例" "𡚑")
aguo ("无益" "𪸷")
aguw ("无恙")
aguz ("无数")
agvb ("无法")
agvg ("天涯")
agvv ("吞没")
agvx ("天津")
agvy ("天池" "无梁")
agw ("迗")
agwb ("天空")
agwc ("无害")
agwj ("无遗" "天宫" "副研究员")
agwl ("无视")
agwn ("天窗")
agwo ("正在进行")
agws ("一面之交")
agwu ("天灾")
agwy ("无边" "天边")
agwz ("无心" "㤁")
agxd ("两码事")
agxx ("蚕桑")
agya ("天子")
agye ("无异")
agyi ("𪥒")
agyl ("武夷山")
agym ("无力")
agyo ("天险")
agyx ("无限")
agyy ("正确引导" "万有引力")
agz ("𡗙")
agzh ("无线" "天线")
agzm ("𡛌")
agzq ("无能")
agzs ("无妨")
agzw ("无缝")
agzy ("顶级" "无级")
agzz ("无缘")
ah ("形成")
ahag ("夏威夷")
ahan ("一式两份")
ahau ("武平")
ahaz ("正式开始")
ahb ("㦱")
ahba ("武士")
ahbd ("弐")
ahbh ("武城")
ahbi ("形式上")
ahbn ("一切工作")
ahbo ("武夫")
ahby ("武功" "武都")
ahda ("武打")
ahec ("列车长")
ahej ("列车员")
aher ("武警")
ahey ("武艺")
ahff ("武林")
ahfs ("武术")
ahgs ("一成不变")
ahha ("武威")
ahhs ("正式成立")
ahi ("武")
ahie ("𣦏")
ahii ("武" "虣" "𢦰")
ahil ("䝾" "𧹁")
ahir ("鹉" "鵡" "𫜇")
ahjj ("武器")
ahjr ("武鸣")
ahk ("𢦱")
ahkk ("武昌")
ahkr ("𢎔")
ahll ("武山")
ahlo ("貮")
ahls ("一致同意")
ahm ("𢦌")
ahmc ("武生")
ahmu ("一致性")
ahnb ("武侠")
ahnd ("武川")
ahnz ("下车伊始")
ahoz ("𢎁")
ahpl ("武钢")
ahqm ("武胜")
ahr ("鹉" "鵡")
ahrf ("形式多样")
ahs ("𢍼")
ahsl ("一致意见")
ahsn ("百感交集")
ahss ("形式主义")
ahst ("正式访问")
ahsu ("一致认为")
ahtb ("武装")
ahte ("武斗")
ahtr ("武将")
ahvc ("武清")
ahvx ("武汉")
ahwa ("武宁")
ahwb ("武进" "武宣")
ahwd ("武定")
ahwh ("形式逻辑")
ahww ("一致通过")
ahwy ("武官")
ahwz ("武安")
ahyj ("武强")
ahym ("武力")
ahyr ("武隆")
ahys ("𤭎")
ahzo ("𢎁")
ahzu ("武断")
ahzz ("武乡")
ai ("丁")
aia ("鄢" "㠪")
aiaa ("丅")
aiae ("丁型")
aiag ("㒫")
aiaj ("哥" "可卡因" "𠾳")
aiao ("一步一个脚印" "𨱘" "𠇬")
aiaq ("百战百胜")
aiar ("下列" "𡕣")
aiau ("与此无关")
aiav ("一点一滴")
aiax ("更上一层楼" "𠾥")
aiay ("𫒘")
aiaz ("𡿴" "𡿰")
aiba ("正巧")
aibb ("政坛")
aibg ("𣦥")
aibi ("下工")
aibk ("下来")
aibo ("正规")
aibr ("㒫")
aibu ("𠁘")
aibv ("下地")
aibx ("下坡")
aiby ("下场")
aibz ("下去" "𪵛" "𡿰" "𠳊")
aicb ("平步青云")
aich ("𢧎")
aicj ("正职")
aicl ("𧶷")
aicq ("靕")
aicr ("𡕣")
aicu ("下班")
aicz ("𡿴")
aid ("下")
aido ("下挫")
aids ("下拉")
aief ("丁苯")
aieh ("下载")
aiel ("正直")
aieo ("𥛴")
aiev ("下落")
aiey ("政协")
aifb ("𣒮")
aife ("下棋")
aifk ("下榻")
aifp ("与此相反")
aifs ("丁醇")
aifu ("下楼" "与此相关")
aifv ("下雨")
aifx ("政权")
aify ("正极")
aifz ("丁酸")
aiga ("百战不殆")
aigj ("下面" "正面")
aigo ("顶" "頂" "頙")
aigr ("正确" "㒫" "𣤀")
aigu ("与此有关")
aigv ("正在")
aih ("𠀀")
aihb ("正式")
aihe ("下车")
aihn ("一步到位")
aihq ("正轨")
aihy ("正切")
aii ("正" "𤴓")
aiia ("㐀" "𠀝")
aiib ("无止境" "芈" "羋")
aiid ("卝")
aiie ("𢍐")
aiij ("正点" "𩃅")
aiil ("𧇘" "𣦓")
aiin ("雈")
aiip ("𨪱")
aiir ("正餐")
aiix ("㪃" "𠀞")
aij ("可" "𠮴")
aija ("正号")
aijg ("𩑸" "𡘀")
aijh ("戨" "㢦" "𢦪" "𢎄")
aiji ("一点点")
aijj ("正品" "下颚")
aijl ("𪾺")
aijm ("下跌" "𢼔")
aijp ("㪼")
aijr ("歌" "一点儿" "下图" "㰤" "𫜒" "𪃿" "𪀉" "𥘱" "𠀿")
aijs ("𧭳")
aijv ("正中")
aijx ("𠄙")
aijy ("㐓" "𨝆" "𨚩")
aika ("正题" "𥛠")
aikb ("𠽚")
aike ("无上光荣")
aikf ("𥚌")
aikg ("正畸")
aiki ("一步步")
aikk ("𤳾")
aikl ("𣦎")
aiko ("政界")
aikv ("正是")
aikw ("正常" "政党")
aikx ("正当")
aikz ("正电")
ailb ("下周" "𢀯")
aild ("下同")
ailh ("下贱")
ailk ("与此同时" "𠁚")
aill ("下岗" "下山")
ailq ("𦟆")
ailr ("政见")
ailw ("正骨" "𢦀")
aim ("政")
aimb ("下等")
aimd ("下手")
aime ("下午" "正午" "下垂")
aimf ("政策")
aimj ("正告" "丁种")
aimk ("𣥵")
aiml ("𧖬")
aimm ("下笔" "政敌")
aimo ("政")
aims ("𥪛" "𠀨")
aimw ("𢾘")
aimy ("正气")
aimz ("政委" "万紫千红")
aine ("正值")
ainf ("政体" "𥙳")
ainh ("𢧖")
aini ("𨾖")
aink ("𪶣")
ainl ("𥘲")
aino ("𧹚")
ainp ("𣂘")
ainr ("正像" "𠅗")
ainx ("正片")
aio ("𤓯")
aioa ("下颌")
aiob ("𢀰")
aioh ("𨱗")
aioi ("政企" "𥙏")
aion ("𩳮" "𩲚")
aior ("夒" "蘷" "𪤾")
aiow ("下令" "政令" "𠾥")
aipi ("下钻")
aipl ("下盘")
aipx ("正反")
aiqd ("𠙁")
aiqe ("下肢")
aiqi ("颪")
aiqo ("下风")
aiqv ("正月" "下月")
aiqx ("𣪅")
aird ("𥘅")
airj ("茍" "𡃭" "𠶱")
airk ("下旬" "𠶘")
airl ("正负")
airm ("𪢪" "𣀋")
airo ("𠀵")
airr ("正比" "𠀲" "𠀢")
airs ("羐" "𣥛")
airy ("政务")
airz ("鴊" "𩿳" "𩾚")
aisj ("下部" "正误")
aisk ("下课" "𠝙")
aisl ("下调")
aism ("下放")
aiso ("正文" "正义")
aisq ("下设")
aisr ("𧙑")
aisu ("𥩠")
aisx ("政变")
aisy ("下方" "𨜃")
aitg ("下头")
aitm ("下痢")
aitn ("政府")
aitr ("下次")
aiuc ("下情")
aiug ("丁类" "𡯼")
aiuj ("𠁈")
aiun ("𩠑")
aiuo ("丁烯" "正火" "𨱘" "𤆉" "𠀺")
aiuw ("丁烷")
aiuy ("鄢")
aiuz ("正数")
aivb ("政法")
aivj ("画蛇添足")
aivl ("下滑")
aivm ("下海")
aivp ("正派" "下浮")
aivs ("下游")
aivv ("𠃎")
aivw ("下沉")
aivz ("政治" "𪡕")
aiwa ("正宁")
aiwb ("正宗")
aiwc ("正割")
aiwd ("下定" "正定")
aiwf ("下述")
aiwg ("下达")
aiwh ("𢧻")
aiwk ("政审")
aiwl ("正视")
aiwr ("政客" "正逢" "𠖙")
aiws ("𣃟")
aiwu ("正道")
aiwy ("下边" "丁字")
aiwz ("忑" "正安" "𢘫")
aixa ("下马")
aixb ("下层")
aixj ("下臂")
aixk ("下届")
aixm ("下属")
aixo ("𪚦")
aixx ("𪚦")
aixy ("政局")
aiy ("邒" "𨚣")
aiyb ("鄢陵")
aiyd ("乤" "㐉")
aiyi ("下巴")
aiyk ("正阳")
aiyr ("下降" "下陷")
aiys ("正弦" "下弦" "㼗" "𤭻")
aiyx ("下限")
aiz ("丐")
aizc ("政绩")
aizg ("𩒆")
aizj ("正如" "下台")
aizk ("𣅰")
aizl ("政纲" "𧵜")
aizm ("𡛵")
aizp ("𣂱")
aizq ("焉能")
aizr ("𠣣")
aizs ("正统")
aizu ("焉")
aizv ("下发")
aizx ("正经")
aizy ("正好" "下级" "丏" "𨚾")
aizz ("下乡")
aj ("可")
aja ("哥")
ajae ("副刊")
ajai ("䜻" "𡈋")
ajaj ("哥哥" "融融" "豌豆" "𩱇" "𠻸")
ajak ("可恶")
ajam ("一口气" "一国两制")
ajar ("死路一条" "𣱌")
ajat ("两国政府" "一呼百应")
ajau ("正中下怀")
ajay ("两口子")
ajba ("可巧")
ajbb ("歌坛" "𩰳")
ajbj ("可喜")
ajbk ("吞吐量" "𩰵")
ajbn ("副井")
ajbx ("歌声")
ajcb ("𧯵")
ajci ("可耻")
ajcj ("副职")
ajct ("两国间")
ajcu ("𩱉")
ajcx ("可取")
ajdc ("副团长")
ajdm ("囊括")
ajdu ("一团糟")
ajeb ("𧰆")
ajeh ("豆芽")
ajei ("𧐵")
ajej ("𩰯")
ajek ("豆苗" "䜺")
ajeq ("可获")
ajer ("囊" "可敬" "嚢")
ajew ("豆蔻" "百叶窗")
ajex ("豉" "䰙")
ajey ("歌艺")
ajfa ("副本")
ajfj ("䜹" "𣗞" "𣒚")
ajfx ("副根")
ajga ("歌厅")
ajgb ("一哄而起")
ajgd ("一蹶不振" "𡭋")
ajge ("一哄而散")
ajgf ("橐" "㯻" "𣠔")
ajgg ("百听不厌" "𩱄" "𥗤")
ajgi ("可不")
ajgj ("可否")
ajgl ("开国大典" "𩰴" "𢄿")
ajgq ("可有")
ajgs ("一蹴而就")
ajgu ("𩱊")
ajhb ("𩰹" "𧯬")
ajhh ("𢨖")
ajhm ("无足轻重" "𩰭")
aji ("囊" "𧾸" "𧖓")
ajii ("蠹" "𧖚" "𧕰" "𣥔")
ajiw ("𢘑")
ajix ("叓" "䜴" "𢾿" "𢾇")
ajiz ("𡝽")
ajja ("可口" "𧯱")
ajjb ("𡈧")
ajjd ("可因")
ajje ("可鄙")
ajjf ("櫜" "𣟏")
ajji ("可贵" "𫚈" "𧏋")
ajjj ("副品")
ajjk ("歌唱" "疈" "㽬" "𤲇" "𠠦")
ajjl ("𩱇")
ajjn ("歌喉")
ajjs ("歌咏")
ajju ("𧰐")
ajk ("副")
ajke ("𩍻")
ajkf ("㰆" "𣡖" "𣠀")
ajkg ("𡚀")
ajki ("可由" "畐")
ajkk ("副" "歌曲" "𧰉")
ajkm ("歌星")
ajkr ("鶝")
ajku ("副业")
ajkv ("可是" "𠀯")
ajkw ("逼" "可悲")
ajkx ("𩰼")
ajkz ("𧰃")
ajl ("融")
ajla ("𫎿" "𧰗")
ajld ("鬲" "𫚉" "𠁐" "𠀷")
ajle ("鞷")
ajlf ("鬴")
ajlg ("𩰴" "𦓠")
ajlh ("𩰭")
ajli ("融" "𫌅" "𧖓")
ajlj ("𧰏")
ajlk ("䰝")
ajll ("𫚉")
ajlm ("𩰫")
ajlr ("可见" "鷊" "鹝")
ajls ("䰚")
ajlv ("可用")
ajly ("䣓" "𨜥")
ajma ("可卸")
ajmb ("𩰫")
ajmd ("歌手" "副手")
ajme ("歌舞")
ajmg ("无中生有")
ajmh ("𧯝")
ajmi ("𧯤")
ajmj ("可靠" "可知")
ajml ("可看" "𩰬")
ajmm ("可笑")
ajmr ("可先")
ajmt ("豆科")
ajmv ("可我")
ajmy ("可气")
ajna ("可使")
ajne ("可供" "豍")
ajnf ("𣝐")
ajnr ("融化")
ajns ("可信")
ajnv ("可他")
ajnx ("䝄" "𧰤")
ajo ("吏")
ajoa ("融合")
ajob ("融会")
ajod ("㐁")
ajof ("𣡪" "𣡦")
ajoi ("可行")
ajoj ("𠲀")
ajom ("一路领先")
ajoo ("𧯲" "𠀬")
ajop ("𪫟")
ajor ("鬷" "𩱛" "𩰺")
ajos ("吏")
ajot ("栆")
ajox ("副食")
ajoy ("两国人民")
ajoz ("歌颂")
ajpw ("可爱")
ajqg ("囊胚")
ajqk ("䜽")
ajr ("歌")
ajrf ("𣡏" "𣚇")
ajri ("一路上")
ajrj ("𧯠")
ajrk ("可乐")
ajrl ("融解")
ajrm ("可疑" "䜶")
ajrn ("𧯰")
ajro ("鬺")
ajrr ("可比" "𩱛" "𧯨")
ajry ("豌")
ajrz ("𩱈")
ajse ("可读")
ajsf ("可亲")
ajsj ("𡃠")
ajsk ("可谓" "䜾")
ajsl ("可调")
ajsp ("歌谣")
ajsq ("可望")
ajsr ("𩱝" "𩱘" "𧞢" "𧚐")
ajsx ("可变")
ajsy ("歌词")
ajte ("㪷" "𩰮")
ajtn ("豆腐")
ajtr ("融资" "豆浆" "武器装备")
aju ("頭" "豆")
ajua ("豆")
ajub ("豇")
ajue ("可惜" "𧯯")
ajug ("頭")
ajuj ("副总" "𧯩")
ajuk ("可判" "剅")
ajul ("𩱐" "𧡀")
ajum ("两国关系" "毭")
ajun ("可怕")
ajuo ("可怜" "一鸣惊人")
ajup ("𧯞")
ajuq ("𣪌")
ajur ("㰯" "𪁞")
ajus ("豆粒")
ajuu ("可憎")
ajuv ("囊中羞涩")
ajuw ("逗")
ajux ("可恨" "豏" "䜵")
ajuy ("郖" "㐙" "𧯪")
ajuz ("正因为如此" "䜳")
ajvf ("豆渣")
ajvk ("豆油" "豆沙")
ajvo ("融洽")
ajvs ("𩰻")
ajvv ("𠮛")
ajwb ("𠁕" "𠁏")
ajwg ("可达")
ajwi ("𧋌")
ajwl ("可视" "䝴")
ajwt ("两国之间")
ajwu ("歌迷" "可逆" "𥺠")
ajwx ("融通" "䜷")
ajwy ("副官" "𧰎")
ajwz ("可心" "无固定收入")
ajx ("事")
ajxb ("𩱃" "𩰰" "𠄙")
ajxe ("歌剧" "𩱂")
ajxl ("可观" "𡻧")
ajxm ("䜸")
ajxx ("𩰸" "𧰤")
ajxy ("开足马力")
ajxz ("𪜄")
ajya ("豆子")
ajyk ("鬸" "䝀")
ajyr ("𪈊")
ajys ("䰛")
ajyy ("翮" "副翼" "𧰂" "𦑭")
ajzb ("𧰁")
ajzf ("㯱" "𣞈" "𣘯")
ajzi ("蟗" "𠚃")
